City,Country,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Raudeberg,NO,1561069282,53.6,87,28,18.34,61.99,5.14
Polovinnoye,RU,1561069283,59.71,65,89,10.4,54.79,65.99
Port Alfred,ZA,1561069283,66.99,40,19,7.0,-33.59,26.89
Hilo,US,1561069176,84.2,54,40,10.29,19.71,-155.08
Khatanga,RU,1561069283,49.09,57,100,11.79,71.98,102.47
Letlhakane,BW,1561069283,48.91,75,0,10.13,-21.42,25.59
Poya,NC,1561069283,69.97,80,46,6.82,-21.35,165.16
Punta Arenas,CL,1561069284,35.6,74,75,1.12,-53.16,-70.91
Traverse City,US,1561069284,71.6,43,75,10.29,44.76,-85.62
Saint-Philippe,CA,1561069284,64.0,88,90,16.11,45.36,-73.48
Torbay,CA,1561069284,57.0,71,40,11.41,47.66,-52.73
Chuy,UY,1561069284,53.59,81,30,0.85,-33.69,-53.46
Chokurdakh,RU,1561069285,52.69,55,78,12.86,70.62,147.9
Half Moon Bay,US,1561069092,78.01,60,5,16.11,37.46,-122.43
Narsaq,GL,1561069285,53.6,58,0,16.11,60.91,-46.05
Talnakh,RU,1561069285,42.8,66,0,13.42,69.49,88.39
Ushuaia,AR,1561069285,32.0,93,0,4.54,-54.81,-68.31
Ribeira Grande,PT,1561069285,67.09,78,97,11.14,38.52,-28.7
Villa Guerrero,MX,1561069286,86.17,35,95,3.38,21.98,-103.59
Victoria,BN,1561069208,78.8,94,75,20.8,5.28,115.24
Hamilton,CA,1561069268,69.8,77,90,11.41,43.26,-79.87
Northam,GB,1561069287,55.4,82,20,6.93,51.04,-4.21
Vaini,IN,1561069287,77.35,89,100,1.52,15.34,74.49
Pochutla,MX,1561069287,89.6,70,75,9.17,15.74,-96.47
Qaanaaq,GL,1561069287,31.45,76,100,1.39,77.48,-69.36
Cap Malheureux,MU,1561069047,73.4,60,20,16.11,-19.98,57.61
Sinnamary,GF,1561069287,80.77,80,33,16.91,5.38,-52.96
Yarim,YE,1561069288,75.37,61,29,5.93,14.3,44.38
Barrow,AR,1561069288,49.81,67,100,9.08,-38.31,-60.23
Albany,US,1561069288,78.01,78,75,8.05,42.65,-73.75
Busselton,AU,1561069288,54.0,38,100,17.27,-33.64,115.35
Lebu,ET,1561069288,59.0,82,75,6.93,8.96,38.73
Altay,CN,1561069289,46.39,80,63,2.48,47.83,88.13
Namibe,AO,1561069289,73.21,71,0,7.05,-15.19,12.15
Castro,CL,1561069289,50.0,87,75,17.22,-42.48,-73.76
Jamestown,AU,1561069289,41.89,73,2,6.67,-33.21,138.6
Salinopolis,BR,1561069290,82.03,77,61,11.86,-0.61,-47.36
Oum Hadjer,TD,1561069290,94.99,25,0,0.78,13.3,19.7
Ponta do Sol,BR,1561069290,64.03,71,0,4.92,-20.63,-46.0
Voykove,UA,1561069290,78.79,73,0,18.32,45.38,36.44
Naron,ES,1561069290,61.0,82,0,4.7,43.52,-8.15
Saint George,GR,1561069291,77.0,64,20,0.94,39.45,22.34
Lusambo,CD,1561069291,72.31,39,0,2.59,-4.97,23.44
Dikson,RU,1561069291,33.79,84,80,17.18,73.51,80.55
Bredasdorp,ZA,1561069291,46.4,81,100,5.82,-34.53,20.04
Atuona,PF,1561069291,81.13,77,4,17.72,-9.8,-139.03
Klaksvik,FO,1561069291,48.2,87,28,9.17,62.23,-6.59
Lompoc,US,1561069292,69.8,64,90,11.41,34.64,-120.46
Upernavik,GL,1561069292,33.43,88,100,14.12,72.79,-56.15
Butaritari,KI,1561069292,83.65,75,95,11.43,3.07,172.79
Nikolskoye,RU,1561069292,69.01,72,20,4.47,59.7,30.79
Aswan,EG,1561069154,100.4,11,0,3.36,24.09,32.9
Geraldton,CA,1561069292,69.8,37,40,8.05,49.72,-86.95
Hermanus,ZA,1561069293,60.01,44,100,4.0,-34.42,19.24
New Norfolk,AU,1561069293,44.6,81,20,11.41,-42.78,147.06
Georgetown,GY,1561069197,84.2,70,40,6.93,6.8,-58.16
Tura,IN,1561069294,79.15,94,100,5.1,25.52,90.21
Muscat,OM,1561069294,87.8,94,0,4.7,23.6,58.55
Rikitea,PF,1561069294,73.57,78,98,27.34,-23.12,-134.97
Hasaki,JP,1561069295,72.0,100,75,5.82,35.73,140.83
